	clustering coefficient
YDR143C	0.11792702273929138
YER068W	0.22938775510204082
YMR207C	0.3787878787878788
YNR016C	0.19387755102040816
YGR192C	0.09918142014087188
YKL060C	0.30437710437710436
YLL039C	0.009714065670063395
YOR042W	0.33088235294117646
YDR099W	0.10691003911342895
YLR138W	0.2909090909090909
YDR425W	0.22916666666666666
YGL093W	0.17533606078316774
YBR059C	0.07719298245614035
YCL032W	0.05833905284831846
YEL036C	0.33201581027667987
YGR056W	0.4981060606060606
YOR319W	0.2620967741935484
YLR448W	0.5115479115479116
YNL096C	0.5680379746835443
YIL135C	0.16883116883116883
YMR139W	0.07597402597402597
YHR135C	0.023326188374732063
YNL199C	0.125
YJL092W	0.044182621502209134
YOR281C	0.31666666666666665
YGL173C	0.22263450834879406
YKL139W	0.17650273224043717
YER125W	0.04456611913057906
YBR283C	0.23030303030303031
YLL013C	0.015043920860356292
YGR059W	0.12159863945578231
YHR027C	0.06172839506172839
YEL002C	0.19932659932659932
YKL008C	0.2897897897897898
YGL043W	0.2989247311827957
YNL306W	0.5988620199146515
YOR158W	0.6893939393939394
YJL019W	0.09933435739887353
YOL104C	0.1111111111111111
YML010W	0.12720156555772993
YNL248C	0.3093877551020408
YDL014W	0.17680865449628128
YJL010C	0.38656987295825773
YDL226C	0.1871345029239766
YPR183W	0.1746880570409982
YLR321C	0.645320197044335
YDL055C	0.2027491408934708
YGL195W	0.16778711484593836
YNL175C	0.38974358974358975
YPL198W	0.4612640163098879
YHL047C	0.0
YHR079C	0.040626040626040624
YHR211W	0.16666666666666666
YNL255C	0.022118777836984606
YDR212W	0.14274509803921567
YLL019C	0.09523809523809523
YDR320C-A	0.1827956989247312
YPR046W	0.14876632801161102
YMR240C	0.4583333333333333
YOR308C	0.3568521031207598
YBR119W	0.27323213624583487
YER165W	0.10712784483276287
YGL103W	0.47530059394466173
YKL172W	0.2968213058419244
YBR245C	0.3061872025383395
YPR110C	0.16363918646172954
YJL125C	0.13333333333333333
YNL062C	0.39285714285714285
YHR032W	0.5
YMR080C	0.009799554565701559
YDL060W	0.27128503437334744
YNL207W	0.14339622641509434
YHR203C	0.46552006552006553
YNL132W	0.29186501639691104
YHR037W	0.6
YPL240C	0.03290529695024077
YDR477W	0.041093865484109385
YOR027W	0.2513842746400886
YBR009C	0.05759049795854578
YNR023W	0.5767195767195767
YIL031W	0.06963725929243171
YNL166C	0.42857142857142855
YOR244W	0.05764616055846422
YCR021C	0.2963709677419355
YJL151C	0.14954577218728163
YGL122C	0.0077042428022603545
YML081W	0.6666666666666666
YDR150W	0.14331041776837652
YPR155C	0.21021021021021022
YAL019W	0.23809523809523808
YBL003C	0.10576180576180576
YCR038C	0.3333333333333333
YPR122W	0.3333333333333333
YCR031C	0.48598130841121495
YLR340W	0.236985236985237
YLR113W	0.08684684684684685
YJL177W	0.519496855345912
YJR041C	0.3333333333333333
YMR004W	0.17391304347826086
YPL031C	0.016902930987887872
YLL018C	0.24
YDR409W	0.08248212461695607
YNL262W	0.22807017543859648
YLR132C	0.038461538461538464
YGR033C	0.3201581027667984
YNR017W	0.1951219512195122
YDR224C	0.12233676975945017
YJL011C	0.513978494623656
YDR164C	0.22988505747126436
YLR166C	0.10403863037752414
YAL032C	0.1398198198198198
YER029C	0.23832923832923833
YCL035C	0.3523809523809524
YMR059W	0.07288135593220339
YBR128C	0.1736842105263158
YGR241C	0.18488529014844804
YBR122C	0.5020242914979757
YLR425W	0.19444444444444445
YMR001C	0.07173539518900343
YBL072C	0.37390823659480377
YOR078W	0.393154486586494
YER148W	0.12709832134292565
YLR291C	0.03957528957528957
YML099C	0.0380952380952381
YDL130W	0.44
YKL122C	0.41911764705882354
YPL210C	0.4327485380116959
YJL048C	0.2777777777777778
YBR198C	0.11819218705446251
YMR012W	0.14634146341463414
YLR018C	0.2536997885835095
YPL075W	0.15789473684210525
YGL120C	0.1524421037443186
YGR220C	0.2898936170212766
YLR075W	0.3687577151834811
YJR138W	0.22528735632183908
YER103W	0.21763869132290184
YGR128C	0.3527905785970302
YOR073W	0.2222222222222222
YAL005C	0.031072676152338757
YMR123W	0.4230769230769231
YMR291W	0.1908831908831909
YNL154C	0.029744978560144436
YAR007C	0.15384615384615385
YCR066W	0.3333333333333333
YLR245C	0.05555555555555555
YPL070W	0.10409745293466224
YDL126C	0.11564356435643565
YER012W	0.17898077940398519
YBL023C	0.2026618269812462
YNL182C	0.2409090909090909
YBL016W	0.04330637915543576
YER082C	0.28858024691358025
YGL190C	0.10100475938656796
YLR293C	0.1573440643863179
YMR235C	0.1420875420875421
YBR010W	0.04173541456466259
YPL047W	0.6086021505376344
YPL115C	0.15714285714285714
YPL161C	0.09803921568627451
YDR259C	0.12846068660022147
YER093C	0.14512877939529675
YKR024C	0.37566137566137564
YNL061W	0.3461405330564209
YGR140W	0.19523809523809524
YOR156C	0.05193171608265948
YER105C	0.31341463414634146
YOL086C	0.1492063492063492
YOR299W	0.5606060606060606
YBL027W	0.6621226874391432
YDR412W	0.2525284450063211
YHR085W	0.5612648221343873
YNR053C	0.34779299847793
YDR320C	0.21904761904761905
YJR135C	0.38735177865612647
YMR121C	0.29473684210526313
YPR143W	0.4064625850340136
YGR162W	0.19838383838383838
YNL031C	0.0432218101475578
YJL124C	0.06051300049720687
YMR179W	0.23809523809523808
YBR105C	0.2631578947368421
YDL181W	0.18614718614718614
YNL250W	0.11738648947951273
YNL261W	0.34408602150537637
YMR271C	0.8333333333333334
YEL039C	0.25
YJL164C	0.021997710645498433
YAL017W	0.11666666666666667
YOL045W	0.09359605911330049
YDR510W	0.028794758022907853
YGL001C	0.38735177865612647
YNL280C	0.42857142857142855
YFR027W	0.17786561264822134
YOL094C	0.2556818181818182
YGR252W	0.07847478474784748
YOR290C	0.16060191518467853
YCR072C	0.5128205128205128
YPR016C	0.3083958020989505
YMR231W	0.4052631578947368
YNL030W	0.061980039338529906
YNL308C	0.31432802665679377
YNR051C	0.08188949714995203
YOR184W	0.3333333333333333
YDR145W	0.19679633867276888
YGL158W	0.04769386151947032
YMR047C	0.13931362555215765
YOR160W	0.2523809523809524
YKL126W	0.1349206349206349
YNR047W	0.15669515669515668
YCL008C	0.13945578231292516
YMR077C	0.16561844863731656
YGR281W	0.15764705882352942
YHR114W	0.05937353903693315
YBR034C	0.05934155263514429
YNL004W	0.17142857142857143
YJR112W	0.1409035409035409
YMR198W	0.2962962962962963
YGR034W	0.6110827374872319
YBR160W	0.02849002849002849
YLR455W	0.32873563218390806
YGL200C	0.16549604916593502
YPR181C	0.1564935064935065
YDR383C	0.4805194805194805
YIR010W	0.062186585210640195
YOL010W	0.4789915966386555
YKL054C	0.17254901960784313
YDR392W	0.6287878787878788
YOL148C	0.43293246993524515
YOL080C	0.5714285714285714
YOR310C	0.21427147697827387
YFR034C	0.06150027578599007
YIL052C	0.42857142857142855
YNL236W	0.34352941176470586
YKR002W	0.3155080213903743
YOR001W	0.29959514170040485
YJR009C	0.19337474120082815
YMR186W	0.10353467561521253
YMR227C	0.35435435435435436
YBR221C	0.23076923076923078
YML059C	0.2857142857142857
YOL133W	0.1056547619047619
YGL135W	0.5555555555555556
YMR290C	0.28478057889822594
YJL052W	0.22410147991543342
YOL013C	0.10042347247428918
YFR004W	0.03377194515992432
YFR052W	0.2677931387608807
YDR129C	0.24466571834992887
YFL002C	0.06697616836892603
YDL208W	0.3389830508474576
YIL118W	0.3157894736842105
YKL130C	0.05017543859649123
YBR191W	0.6595628415300546
YFR031C-A	0.36315295589615265
YDR356W	0.14405594405594405
YPL255W	0.19913419913419914
YLR303W	0.2967032967032967
YMR165C	0.06156156156156156
YOR233W	0.09856035437430787
YJL130C	0.1710261569416499
YPL190C	0.10699062233589088
YNL186W	0.10118869243831785
YOR051C	0.34615384615384615
YHL030W	0.14117911117761484
YLL026W	0.16816499206768906
YHL034C	0.027142253038488738
YIL035C	0.09611506922973517
YGL091C	0.17777777777777778
YIL129C	0.3142857142857143
YOR210W	0.3051750380517504
YCR077C	0.04427775883623139
YOR369C	0.2966666666666667
YIL133C	0.47671271898589945
YLR150W	0.13695364238410596
YDR432W	0.16542699724517906
YPL213W	0.3330721003134796
YDL117W	0.12121212121212122
YKR009C	0.18947368421052632
YDR167W	0.33454325468844526
YBR048W	0.5348514851485149
YBR060C	0.27307692307692305
YPL008W	0.23809523809523808
YBR111W-A	0.1562097812097812
YGR178C	0.22832980972515857
YLR350W	0.15897136177673876
YNL190W	0.4166666666666667
YER008C	0.2988505747126437
YOL005C	0.4535353535353535
YML100W	0.3382352941176471
YHR099W	0.25472047389855607
YOL051W	0.24565826330532212
YER133W	0.09992138364779875
YLR002C	0.4170471841704718
YBR118W	0.11422172452407615
YCL037C	0.019564728821074753
YER018C	0.09515151515151515
YPR083W	0.12380952380952381
YMR314W	0.32998413537810684
YOR259C	0.263000852514919
YHR082C	0.0341446923597025
YDR515W	0.019612896574830545
YPL079W	0.34545454545454546
YDL193W	0.3888888888888889
YER006W	0.31908271908271907
YOR236W	0.10714285714285714
YML005W	0.6666666666666666
YNR046W	0.18469945355191256
YDR021W	0.1
YLR248W	0.07549361207897794
YGR238C	0.17069701280227595
YHR158C	0.14119513484928609
YAL038W	0.08290859667006456
YAL026C	0.13709677419354838
YPR129W	0.17551020408163265
YBR103W	0.20615384615384616
YCR033W	0.3602941176470588
YHR086W	0.331041776837652
YML049C	0.43028846153846156
YKL016C	0.20270270270270271
YBR031W	0.267821499857428
YJL109C	0.3771718791766907
YKL049C	0.05834863249070282
YGR119C	0.2372448979591837
YNL189W	0.055957834589429094
YJL168C	0.12184769038701623
YPR159W	0.21666666666666667
YCL059C	0.34672838207447926
YLR129W	0.6869565217391305
YHR185C	0.07692307692307693
YOL086W-A	0.38095238095238093
YEL034W	0.1827799000881575
YIL148W	0.18585858585858586
YBR249C	0.38461538461538464
YBR248C	0.6666666666666666
YLL004W	0.3106060606060606
YPR162C	0.5146198830409356
YBL002W	0.1235813366960908
YKR025W	0.5220483641536273
YIL130W	0.45454545454545453
